,state,zone,vehicle_code,
0,Andhra Pradesh,Southern,AP,
1,Arunachal Pradesh,North-Eastern,AR
2,Assam,North-Eastern,AS
3,Bihar,Eastern,BR
4,Chhattisgarh,Central,CG
5,Goa,Western,GA
6,Gujarat,Western,GJ
7,Haryana,Northern,HR
8,Himachal Pradesh,Northern,HP
9,Jharkhand,Eastern,JH
10,Karnataka,Southern,KA
11,Kerala,Southern,KL,
12,Madhya Pradesh,Central,MP
13,Maharashtra,Western,MH
14,Manipur,North-Eastern,MN
15,Meghalaya,North-Eastern,ML
16,Mizoram,North-Eastern,MZ
17,Nagaland,North-Eastern,NL
18,Odisha,Eastern,OD
19,Punjab,Northern,PB
20,Rajasthan,Northern,RJ
21,Sikkim,North-Eastern,SK
22,Tamil Nadu,Southern,TN
23,Telangana,Southern,TS
24,Tripura,North-Eastern,TR
25,Uttar Pradesh,Central,UP
26,Uttarakhand,Central,UK
27,West Bengal,Eastern,WB

